Neuron_Type,Brain_Region,Primary_Pattern,Firing_Rate_Hz,Pattern_Description,Key_Characteristics,Functional_Role,Izhikevich_Parameters
Regular Spiking Pyramidal,Neocortex (Layers 2-6),Regular Spiking (RS),5-50,"Regular, sustained firing with spike frequency adaptation. Maintains steady firing rate with gradual adaptation","Spike frequency adaptation, broad spike width, accommodation","Excitatory projection neurons, main cortical output","a=0.02, b=0.2, c=-65, d=6"
Intrinsically Bursting Pyramidal,"Neocortex (Layers 2-3, 5)",Intrinsically Bursting (IB),1-15,Initial burst of 2-5 spikes followed by regular single spikes. Mixed firing pattern,"Initial burst then tonic spiking, strong adaptation","Layer 5 pyramidal cells, cortico-subcortical projections","a=0.02, b=0.2, c=-55, d=4"
Chattering,Neocortex (Layers 2-4),Chattering (CH),200-500 (intraburst),Repetitive high-frequency bursts (>300Hz within burst) with stereotypical patterns,"Very high intraburst frequency, narrow spike width, repetitive bursts","Contribute to gamma oscillations, visual cortex processing","a=0.02, b=0.2, c=-50, d=2"
Fast Spiking Interneuron,Neocortex (All layers),Fast Spiking (FS),100-400,High-frequency sustained firing without adaptation. Can fire up to 400Hz for seconds,"Very narrow spikes, no adaptation, high maximum firing rate","Perisomatic inhibition, gamma rhythms, PV-positive basket cells","a=0.1, b=0.2, c=-65, d=2"
Low Threshold Spiking,"Neocortex, Thalamus",Low Threshold Spiking (LTS),50-200,High-frequency firing with spike frequency adaptation. Rebound bursts after hyperpolarization,"Rebound bursts, T-type calcium currents, adaptation","Dendritic inhibition, somatostatin-positive interneurons","a=0.02, b=0.25, c=-65, d=2"
CA1 Pyramidal,Hippocampus CA1,Regular Spiking/Adapting,0.1-20,Adapting spiking (ASP) or delayed non-adapting spiking (D.NASP),"Place cell activity, theta modulation, complex spikes","Spatial navigation, memory consolidation","a=0.02, b=0.2, c=-65, d=6"
CA3 Pyramidal,Hippocampus CA3,Bursting/Regular,0.1-50,Intrinsic bursting or adapting spiking patterns,"Recurrent connections, pattern completion, bursting","Pattern completion, memory retrieval","a=0.02, b=0.2, c=-55, d=4"
Dentate Granule,Hippocampus DG,Sparse Firing,0.01-5,"Very sparse, irregular firing with long silent periods","Pattern separation, very low firing rates, sparse coding","Pattern separation, adult neurogenesis","a=0.02, b=0.2, c=-65, d=6"
Purkinje Cell,Cerebellum,Simple/Complex Spikes,"40-50 (simple), 0.5-1 (complex)",High-frequency simple spikes (~40Hz) interrupted by complex spikes (~1Hz) followed by pause,"Two spike types, regular simple spikes, climbing fiber complex spikes","Motor learning, cerebellar output, error correction","a=0.02, b=0.2, c=-65, d=8"
Cerebellar Granule,Cerebellum,Sparse Bursting,0.5-50,"Sparse, irregular bursts of spikes in response to mossy fiber input","Context-dependent firing, parallel fiber output, sparse activity","Sensorimotor integration, timing","a=0.02, b=0.2, c=-65, d=6"
Dopaminergic (VTA/SNc),Midbrain VTA/SNc,Tonic/Phasic Bursting,"1-8 (tonic), 15-20 (bursts)",Tonic background firing with phasic burst responses to rewards/prediction errors,"Reward prediction error signaling, burst-pause patterns","Reward processing, motivation, learning","a=0.02, b=0.2, c=-55, d=4"
Serotonergic,Brainstem Raphe,Slow Regular,0.03-3,"Slow, regular tonic firing. Can burst up to 17Hz during certain behaviors","Clock-like regularity, state-dependent modulation","Mood regulation, sleep-wake cycles, behavioral state","a=0.02, b=0.2, c=-65, d=6"
Noradrenergic,Locus Coeruleus,Tonic/Phasic,0.5-5,Tonic firing with phasic responses to salient stimuli,"Attention-related bursts, arousal modulation","Attention, arousal, stress response","a=0.02, b=0.2, c=-65, d=6"
Cholinergic Interneuron,Striatum,Tonic/Pause-Burst,2-10,Tonic firing with characteristic pause-rebound responses to dopamine,"Pause-rebound firing, dopamine-responsive","Action selection, habit formation","a=0.02, b=0.2, c=-65, d=6"
Alpha Motor Neuron,Spinal Cord,Regular/Irregular,8-50,"Regular firing during voluntary movement, irregular spontaneous activity after SCI","Size principle recruitment, persistent inward currents","Muscle contraction, motor control","a=0.02, b=0.2, c=-65, d=6"
Retinal Ganglion Cell,Retina,ON/OFF Responses,1-100,"Phasic ON or OFF responses, sustained responses, direction selectivity","Light-responsive, center-surround organization, various subtypes","Visual processing, motion detection, contrast detection","a=0.02, b=0.2, c=-65, d=6"
Photoreceptive RGC (ipRGC),Retina,Sustained Response,0.5-20,"Sustained firing proportional to light intensity, melanopsin-based","Intrinsic photosensitivity, irradiance detection","Circadian rhythms, pupillary responses","a=0.02, b=0.2, c=-65, d=6"
Thalamic Relay,Thalamus,Tonic/Burst,"10-40 (tonic), 200-400 (burst)","State-dependent: tonic during wake, bursting during sleep","T-type Ca2+ channels, sleep spindles, state switching","Sensory relay, sleep rhythms, attention gating","a=0.02, b=0.25, c=-65, d=0.05"
Respiratory Motor,Medulla,Rhythmic Bursting,12-20 (breaths/min),Rhythmic bursting synchronized with breathing pattern,"Central pattern generation, respiratory rhythm","Breathing control, respiratory rhythm generation","a=0.02, b=0.2, c=-55, d=4"
Pacemaker Neuron,"Various (SCN, Heart)",Rhythmic Pacemaking,0.1-10,Autonomous rhythmic firing without external input,"Intrinsic oscillations, clock-like regularity","Rhythm generation, circadian clocks","a=0.02, b=0.2, c=-50, d=2"
Integrator,Various,Integrative Firing,Variable,Firing rate proportional to integrated input over time,"Input integration, memory of past inputs","Working memory, decision making","a=0.02, b=-0.1, c=-55, d=6"
Resonator,Various,Resonant Response,Variable,Preferential response to specific input frequencies,"Frequency selectivity, subthreshold oscillations","Frequency filtering, oscillation amplification","a=0.1, b=0.26, c=-65, d=2"
